;City;Place found;Latitude;Longitude;Obscuration;Magnitude
0;Aleksandrów Kujawski ;Aleksandrów Kujawski, powiat aleksandrowski, województwo kujawsko-pomorskie, Polska;52.8765;18.6936;12.0;0.222
1;Aleksandrów Łódzki ;Aleksandrów Łódzki, gmina Aleksandrów Łódzki, powiat zgierski, województwo łódzkie, Polska;51.8197;19.3035;9.7;0.192
2;Alwernia ;Alwernia, gmina Alwernia, powiat chrzanowski, województwo małopolskie, Polska;50.0690;19.5397;6.4;0.145
3;Andrychów ;Andrychów, gmina Andrychów, powiat wadowicki, województwo małopolskie, 34-120, Polska;49.8556;19.3437;6.1;0.141
4;Annopol ;Annopol, gmina Annopol, powiat kraśnicki, województwo lubelskie, 23-235, Polska;50.8852;21.8551;7.2;0.157
5;Augustów ;Augustów, powiat augustowski, województwo podlaskie, 16-300, Polska;53.8437;22.9802;12.7;0.231
6;Babimost ;Babimost, gmina Babimost, powiat zielonogórski, województwo lubuskie, 66-110, Polska;52.1653;15.8285;11.6;0.218
7;Baborów ;Baborów, gmina Baborów, powiat głubczycki, województwo opolskie, 48-120, Polska;50.1564;17.9859;7.1;0.155
8;Baranów Sandomierski ;Baranów Sandomierski, gmina Baranów Sandomierski, powiat tarnobrzeski, województwo podkarpackie, Polska;50.4995;21.5418;6.6;0.148
9;Barcin ;Barcin, gmina Barcin, powiat żniński, województwo kujawsko-pomorskie, 88-190, Polska;52.8632;17.9472;12.2;0.225
10;Barczewo ;Barczewo, gmina Barczewo, powiat olsztyński, województwo warmińsko-mazurskie, 11-010, Polska;53.8297;20.6911;13.3;0.239
11;Bardo;Bardo, gmina Bardo, powiat ząbkowicki, województwo dolnośląskie, 57-256, Polska;50.5068;16.7402;8.1;0.171
12;Barlinek ;Barlinek, gmina Barlinek, powiat myśliborski, województwo zachodniopomorskie, 74-320, Polska;52.9921;15.2166;13.6;0.242
13;Bartoszyce ;Bartoszyce, powiat bartoszycki, województwo warmińsko-mazurskie, 11-200, Polska;54.2524;20.8144;14.1;0.249
